date,name,favorite,breakfast,prepare,body,happy,,,,
9-27-2014_19:29:36,Sherley,Stuffed Animals,Cereal and milk,Bowl + Cereal + Milk,My legs,Played with my kittens,,,,
9-27-2014_19:32:12,Nia,Baking Cakes,Nothing,N/A,My Boobs,Food,,,,
9-27-2014_19:34:19,Momoh,My dog,Eggs,Scrambled ,My skin color,Sing,,,,
9-27-2014_19:36:8,jasmine,skateboard,bread,toast,hand,dance,,,,
9-27-2014_19:37:58,marykate,my books,cereal,crunchy,my legs,laughed,,,,
9-27-2014_19:39:43,nitza,my books,coffee,milk,no sugar,lips,kissed,,,
9-27-2014_19:42:51,isaiah,legos,cereal,mom does it,nose,paint,,,,
9-27-2014_19:44:48,Steve,Pizza,nothing,Stare into space blankly,My toes,Eat a lot of pizza,,,,
9-27-2014_19:47:1,yiling,robots,noodle,delivery,legs,got an unpaid internship at jazz club,,,,
9-27-2014_19:49:17,lydia,playing games,eggs,fried,eyes,smiled,,,,
9-27-2014_19:50:58,raul,fire,cereal,milk,eyes,drink,,,,
9-27-2014_19:53:18,amy,walking in the woods,toast,with peanut butter and jam,hands,wrinkle my nose,,,,
9-27-2014_19:55:26,robert,playing soccer,eggs with toast,with cheese and butter,my eyes,skateboarded,,,,
9-27-2014_19:57:21,user,sports,deer,um,mouth,eat deer,,,,
9-27-2014_19:59:24,karina,watching cartoons,eggs sandwich,toast it,my eyes,smile a lot,,,,
9-27-2014_20:1:28,shirley,my stuffed animals,eggos,oven,my cheeks,go on tumblr,,,,
9-27-2014_20:5:15,Tim,Video games,Oat meal,,arm,played,,,,
9-27-2014_20:8:32,daria,tv,oat meal,hot water,mouth,birthday,,,,
9-27-2014_20:11:13,Alina,TV,Oatmeal,Hot Water,Mouth,Birthday,,,,
9-27-2014_20:16:50,ian,naps,oatmeal,buy it,all of it,napped,,,,
9-27-2014_20:18:41,linda,sleep,nothing,do nothing,hair,dream,,,,
9-27-2014_20:20:36,eric,star wars,coffee,In the coffee maker  Really?,brain,had some whisky,,,,
